ID,q,a
1,与光合作用相反的作用是什么？A、蒸腾作用 B、呼吸作用 C、没有相反左右,B、呼吸作用 
2,世界上最大的橡胶生产国是？A、泰国B、菲律宾 C、马来西亚 D、印度,A、泰国
3,世界陆地表面最低点是？A、贝加尔湖 B、死海 C、艾尔湖 D、密歇根湖,B、死海 
4,海市蜃楼形成的原因是？A、光的折射 B、光的反射,A、光的折射
5,沙暖睡鸳鸯的上一句诗是？a、泥融飞燕子 b、今春看又过 c、春风花草香,a、泥融飞燕子 
6,我国第一部描述地理书的著作是？a、禹贡 b、西域图记 c、水经注 d、徐霞客游记,a、禹贡
7,人类共有多少条染色体？,46
8,克隆技术史上诞生的“多莉”是世界上首个A.克隆人B.克隆猫C.克隆狗D.克隆羊,D.克隆羊
9,发动“安史之乱”的安禄山的身份是？ A.节度使B.知府C.刺史D.总兵,A.节度使
10,确立三国鼎立局面的最重要的战役是？A.官渡之战B.夷陵之战C.赤壁之战D.潼关之战,C.赤壁之战
11,以下城市中不属于中国“三大火炉的是?A.南昌B.南京C.重庆D.武汉,A.南昌
12,中国历史上第一位皇帝是?A.尧B.黄帝C赢政D.炎帝,C赢政
13,有害的 ()具有极高能量能够穿透晶状体直达视网膜引起视网膜色素上皮细胞的萎缩甚至死亡A.白光B.红光C.黄光D.蓝光,D.蓝光
14,被称为“杏月”的月份是？A.二月B.六月C.八月D.十二月,A.二月
15,讲卫生，除四害中“四害”不包括?A.蚊子B.苍蝇C.麻雀D.蟑螂,D.蟑螂
16,被誉为抗癌之王的微量元素是？A钙B硒C铁,B硒
17,“徐娘半老”中的“徐娘”是指？A.徐昭佩B.徐贞静C.徐春梅D.徐淑D锌,A.徐昭佩
18,“月上柳梢头，人约黄昏后”描写的是中国哪个传统节日？A.中秋节B.端午节C.元宵节D.七夕节,C.元宵节
19,微信启动界面上的地球拍摄于北半球的什么季节?A.春季B.夏季C.秋季D.冬季,D.冬季
20,郑州属于什么流域?A.淮河流域B.黄河流域C.长江流域,A.淮河流域
21,“马六甲”原是什么的名字?A.人名B.动物名C.树名D.湖名,C.树名
22,压轴是指?a、倒数第二个b、最后一个c、第一个d、第二个,a、倒数第二个
23,“一丝不挂”最初是指什么？A没穿任何衣服B.头发一丝不乱C织布机上不用线挂D对外界事物不牵挂,D对外界事物不牵挂
24,东床快婿原本指的是谁？a、李白b、王安石c、王羲之d、司马相如,c、王羲之
25,眼睛最多的昆虫是什么?a、蝴蝶b、苍蝇c、蜻蜓d、蜗牛,c、蜻蜓
26,世界上牙齿最多的动物是？a、蜗牛b、鲨鱼c、海豚d、犰狳,a、蜗牛
27,毛病是什么动物的毛？a、马b、猪c、狗d、羊,a、马
28,“蛛丝马迹”中的马是什么马？a、千里马b、海马c、灶马,c、灶马
29,下列农作物中，原产于我国的是？A、玉米B、芝麻C、大豆D、甜菜,C、大豆
30,沉鱼落雁的“落雁”指（    ）A、王昭君 B、西施 C、杨玉环 D、貂蝉,A、王昭君
31,材料中最不易燃烧的是（    ）A、金属钠 B、棉麻布 C、石棉 D、金属铝, C、石棉
32,在太阳系中拥有卫星数量最多且自转最快的行星是（    ）A、水星 B、金星 C、地球 D、木星, D、木星
33,我国少数民族中人口最多的是（    ）A、苗族 B、蒙族 C、壮族 D、回族,C、壮族
34,“四渎”是古代典籍中对四条独流入海的大河的合称，它们具体指（    ）A、长江、黑河、珠江、海河 B、长江、黄河、淮河、海河 C、珠江、黄河、济水、辽河 D、长江、黄河、淮河、济水, D、长江、黄河、淮河、济水
35,我国近代最早的综合性大学是现在的（    ） A、北京大学 B、复旦大学 C、浙江大学 D、山东大学, A、北京大学 
36,铁锈的颜色是？A、绿色 B、橘色 C、蓝色 D、红色, D、红色
37,典故“妇人之仁”指的是？A、韩信 B、刘邦 C、项羽 D、彭越, C、项羽
38,我国最东部的岛屿是？A、台湾岛 B、崇明岛 C、海南岛 D、黑瞎子岛,D、黑瞎子岛
39,“诗鬼”是唐代诗人？A、李贺 B、刘禹锡 C、李林甫 D、韩愈,A、李贺
40,雕虫小技的虫原指什么？a、虫子b、字体c、鸟,b、字体
41,一问三不知是哪三不知？a、天文、地理、文学b、开始、经过、结果c、孔子、孟子、老子,b、开始、经过、结果
42,我国第一张人民币的面额是?A、1元B、10元C、50元D、100元,C、50元
43,下面哪个香型的白酒的生产工艺中使用了肥猪肉？A.米香型B.豉香型C.兼香型D.凤香型,B.豉香型
44,人体器官中最不怕冷的是?A、鼻子B、嘴巴C、耳朵D、眼睛,D、眼睛
45,耳屎在古代被用来做什么?A、脚气药B、止咳药C、润唇膏D、芳香剂,C、润唇膏
46,荷兰豆在荷兰叫什么?A.荷兰豆B.中国豆C.日本豆D.豌豆,B.中国豆
47,我国第一颗原子弹的名字是?A.小男孩B.胖子C.南瓜D.邱小姐,D.邱小姐
48,曾经中国唯一禁止日本人进入的城市是?A.南京B.天津c.旅顺D.上海,c.旅顺
49,“嗯”的拼音是?A、ngB、eC、enD、eng,A、ng
50,我国第一部电影是？a、定军山b、渔光曲c、歌女红牡丹d、风云儿女,a、定军山
51,下列发明按时间先后排序，正确的是()A.电报、电话、电视、电脑B.电话、电报、电视、电脑C.电话、电视、电报、电脑D.电报、电视、电话、电脑,A.电报、电话、电视、电脑
52,2022年5月15日，我国自主研制的 ()III型浮空艇从海拔4300米的科考营地顺利升空，海拔高度达到9032米，创造了浮空艇大气科学观测世界纪录A.“极目III号”B.“极目一号”C.“千里一号”D.“千里二号”,B.“极目一号”
53,误食重金属盐中毒，解毒方法有？A.口服大量葡萄糖溶液B.服用大量白酒C.服用大量牛奶和豆浆D.服用大量可溶性硫化物,C.服用大量牛奶和豆浆
54,“耳边风”指的是什么风?A、春风B、夏风C、秋风D、冬风,C、秋风
55,“男女授受不亲”最初指的是什么?A、男女间肢体不能相碰B、男女间不能见面C、男女间不能亲手递送东西D、男女不能发生爱情,C、男女间不能亲手递送东西
